study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	experiment_alias	fastq_ftp	submitted_ftp	sra_ftp
PRJEB38036	SAMEA6804894	ERX4088327	ERR4097154	408170	human gut metagenome	CNX0150062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097154/ERR4097154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097154/ERR4097154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097154/E_17.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097154/E_17.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097154
PRJEB38036	SAMEA6804936	ERX4088328	ERR4097155	408170	human gut metagenome	CNX0150102	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097155/ERR4097155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097155/ERR4097155_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097155/F_30.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097155/F_30.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097155
PRJEB38036	SAMEA6804935	ERX4088329	ERR4097156	408170	human gut metagenome	CNX0150103	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097156/ERR4097156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097156/ERR4097156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097156/F_31.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097156/F_31.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097156
PRJEB38036	SAMEA6804809	ERX4088330	ERR4097157	408170	human gut metagenome	CNX0150100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097157/ERR4097157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097157/ERR4097157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097157/F_29.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097157/F_29.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097157
PRJEB38036	SAMEA6804808	ERX4088331	ERR4097158	408170	human gut metagenome	CNX0150101	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097158/ERR4097158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097158/ERR4097158_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097158/F_3.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097158/F_3.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097158
PRJEB38036	SAMEA6804940	ERX4088332	ERR4097159	408170	human gut metagenome	CNX0150106	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097159/ERR4097159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097159/ERR4097159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097159/F_38.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097159/F_38.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097159
PRJEB38036	SAMEA6804939	ERX4088333	ERR4097160	408170	human gut metagenome	CNX0150107	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097160/ERR4097160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097160/ERR4097160_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097160/F_39.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097160/F_39.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097160
PRJEB38036	SAMEA6804942	ERX4088334	ERR4097161	408170	human gut metagenome	CNX0150104	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097161/ERR4097161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097161/ERR4097161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097161/F_32.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097161/F_32.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097161
PRJEB38036	SAMEA6804941	ERX4088335	ERR4097162	408170	human gut metagenome	CNX0150105	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097162/ERR4097162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097162/ERR4097162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097162/F_37.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097162/F_37.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097162
PRJEB38036	SAMEA6804890	ERX4088336	ERR4097163	408170	human gut metagenome	CNX0150066	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097163/ERR4097163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097163/ERR4097163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097163/E_28.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097163/E_28.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097163
PRJEB38036	SAMEA6804867	ERX4088337	ERR4097164	408170	human gut metagenome	CNX0149948	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097164/ERR4097164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097164/ERR4097164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097164/B_41.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097164/B_41.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097164
PRJEB38036	SAMEA6804833	ERX4088338	ERR4097165	408170	human gut metagenome	CNX0149938	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097165/ERR4097165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097165/ERR4097165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097165/B_38.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097165/B_38.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097165
PRJEB38036	SAMEA6804768	ERX4088339	ERR4097166	408170	human gut metagenome	CNX0149967	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097166/ERR4097166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097166/ERR4097166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097166/C_28.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097166/C_28.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097166
PRJEB38036	SAMEA6804853	ERX4088340	ERR4097167	408170	human gut metagenome	CNX0150058	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097167/ERR4097167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097167/ERR4097167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097167/E_13.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097167/E_13.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097167
PRJEB38036	SAMEA6804854	ERX4088341	ERR4097168	408170	human gut metagenome	CNX0150059	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097168/ERR4097168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097168/ERR4097168_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097168/E_14.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097168/E_14.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097168
PRJEB38036	SAMEA6804848	ERX4088342	ERR4097169	408170	human gut metagenome	CNX0149970	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097169/ERR4097169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097169/ERR4097169_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097169/C_30.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097169/C_30.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097169
PRJEB38036	SAMEA6804764	ERX4088343	ERR4097170	408170	human gut metagenome	CNX0149963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097170/ERR4097170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097170/ERR4097170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097170/C_17.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097170/C_17.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097170
PRJEB38036	SAMEA6804856	ERX4088344	ERR4097171	408170	human gut metagenome	CNX0150050	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097171/ERR4097171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097171/ERR4097171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097171/D6300_4_24.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097171/D6300_4_24.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097171
PRJEB38036	SAMEA6804857	ERX4088345	ERR4097172	408170	human gut metagenome	CNX0150051	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097172/ERR4097172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097172/ERR4097172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097172/D6300_40.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097172/D6300_40.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097172
PRJEB38036	SAMEA6804858	ERX4088346	ERR4097173	408170	human gut metagenome	CNX0150052	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097173/ERR4097173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097173/ERR4097173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097173/D6300_41.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097173/D6300_41.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097173
PRJEB38036	SAMEA6804859	ERX4088347	ERR4097174	408170	human gut metagenome	CNX0150053	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097174/ERR4097174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097174/ERR4097174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097174/D6300_42.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097174/D6300_42.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097174
PRJEB38036	SAMEA6804860	ERX4088348	ERR4097175	408170	human gut metagenome	CNX0150054	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097175/ERR4097175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097175/ERR4097175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097175/D6300_6_19.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097175/D6300_6_19.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097175
PRJEB38036	SAMEA6804861	ERX4088349	ERR4097176	408170	human gut metagenome	CNX0150055	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097176/ERR4097176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097176/ERR4097176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097176/D6300_7.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097176/D6300_7.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097176
PRJEB38036	SAMEA6804862	ERX4088350	ERR4097177	408170	human gut metagenome	CNX0150056	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097177/ERR4097177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097177/ERR4097177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097177/D6300_9.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097177/D6300_9.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097177
PRJEB38036	SAMEA6804863	ERX4088351	ERR4097178	408170	human gut metagenome	CNX0150057	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097178/ERR4097178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097178/ERR4097178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097178/E_1.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097178/E_1.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097178
PRJEB38036	SAMEA6804864	ERX4088352	ERR4097179	408170	human gut metagenome	CNX0150119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097179/ERR4097179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097179/ERR4097179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097179/F_6.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097179/F_6.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097179
PRJEB38036	SAMEA6804785	ERX4088353	ERR4097180	408170	human gut metagenome	CNX0150118	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097180/ERR4097180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097180/ERR4097180_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097180/F_5_19.2.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097180/F_5_19.2.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097180
PRJEB38036	SAMEA6804845	ERX4088354	ERR4097181	408170	human gut metagenome	CNX0149973	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097181/ERR4097181_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097181/ERR4097181_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097181/C_37.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097181/C_37.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097181
PRJEB38036	SAMEA6804846	ERX4088355	ERR4097182	408170	human gut metagenome	CNX0149972	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097182/ERR4097182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097182/ERR4097182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097182/C_32.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097182/C_32.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097182
PRJEB38036	SAMEA6804851	ERX4088356	ERR4097183	408170	human gut metagenome	CNX0149975	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097183/ERR4097183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097183/ERR4097183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097183/C_39.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097183/C_39.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097183
PRJEB38036	SAMEA6804852	ERX4088357	ERR4097184	408170	human gut metagenome	CNX0149974	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097184/ERR4097184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097184/ERR4097184_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097184/C_38.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097184/C_38.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097184
PRJEB38036	SAMEA6804849	ERX4088358	ERR4097185	408170	human gut metagenome	CNX0149977	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097185/ERR4097185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097185/ERR4097185_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097185/C_40.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097185/C_40.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097185
PRJEB38036	SAMEA6804850	ERX4088359	ERR4097186	408170	human gut metagenome	CNX0149976	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097186/ERR4097186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097186/ERR4097186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097186/C_4.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097186/C_4.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097186
PRJEB38036	SAMEA6804911	ERX4088360	ERR4097187	408170	human gut metagenome	CNX0150111	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097187/ERR4097187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097187/ERR4097187_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097187/F_4_21.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097187/F_4_21.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097187
PRJEB38036	SAMEA6804773	ERX4088361	ERR4097188	408170	human gut metagenome	CNX0150110	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097188/ERR4097188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097188/ERR4097188_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097188/F_4_20.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097188/F_4_20.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097188
PRJEB38036	SAMEA6804831	ERX4088362	ERR4097189	408170	human gut metagenome	CNX0150113	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097189/ERR4097189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097189/ERR4097189_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097189/F_40.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097189/F_40.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097189
PRJEB38036	SAMEA6804876	ERX4088363	ERR4097190	408170	human gut metagenome	CNX0150112	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097190/ERR4097190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/000/ERR4097190/ERR4097190_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097190/F_4_23.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097190/F_4_23.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/000/ERR4097190
PRJEB38036	SAMEA6804767	ERX4088364	ERR4097191	408170	human gut metagenome	CNX0149966	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097191/ERR4097191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/001/ERR4097191/ERR4097191_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097191/C_27.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097191/C_27.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/001/ERR4097191
PRJEB38036	SAMEA6804951	ERX4088365	ERR4097192	408170	human gut metagenome	CNX0150114	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097192/ERR4097192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/002/ERR4097192/ERR4097192_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097192/F_41.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097192/F_41.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/002/ERR4097192
PRJEB38036	SAMEA6804785	ERX4088366	ERR4097193	408170	human gut metagenome	CNX0150117	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097193/ERR4097193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/003/ERR4097193/ERR4097193_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097193/F_5_19.1.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097193/F_5_19.1.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/003/ERR4097193
PRJEB38036	SAMEA6804782	ERX4088367	ERR4097194	408170	human gut metagenome	CNX0150116	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097194/ERR4097194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/004/ERR4097194/ERR4097194_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097194/F_5.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097194/F_5.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/004/ERR4097194
PRJEB38036	SAMEA6804769	ERX4088368	ERR4097195	408170	human gut metagenome	CNX0149964	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097195/ERR4097195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/005/ERR4097195/ERR4097195_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097195/C_18.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097195/C_18.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/005/ERR4097195
PRJEB38036	SAMEA6804770	ERX4088369	ERR4097196	408170	human gut metagenome	CNX0149965	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097196/ERR4097196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/006/ERR4097196/ERR4097196_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097196/C_2.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097196/C_2.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/006/ERR4097196
PRJEB38036	SAMEA6804771	ERX4088370	ERR4097197	408170	human gut metagenome	CNX0149968	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097197/ERR4097197_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/007/ERR4097197/ERR4097197_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097197/C_29.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097197/C_29.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/007/ERR4097197
PRJEB38036	SAMEA6804960	ERX4088371	ERR4097198	408170	human gut metagenome	CNX0149892	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097198/ERR4097198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/008/ERR4097198/ERR4097198_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097198/A_12.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097198/A_12.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/008/ERR4097198
PRJEB38036	SAMEA6804961	ERX4088372	ERR4097199	408170	human gut metagenome	CNX0149893	ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097199/ERR4097199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR409/009/ERR4097199/ERR4097199_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097199/A_13.1.rmhost.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR409/ERR4097199/A_13.2.rmhost.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR409/009/ERR4097199
